"108年12月17日每日收盤行情(其他)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1435","中福","223,385","87","1,579,448","7.06","7.10","7.03","7.08","-","0.02","7.08","5","7.10","17","354.00",
"1437","勤益控","335,671","173","8,571,925","25.25","25.70","25.25","25.50","+","0.25","25.45","13","25.50","1","6.04",
"1516","川飛","56,136","40","914,495","16.10","16.45","16.10","16.30","+","0.05","16.20","5","16.30","7","77.62",
"2062","橋椿","82,000","62","2,238,300","27.15","27.45","27.15","27.25","-","0.05","27.25","4","27.30","30","60.56",
"2348","海悅","452,525","247","24,696,110","54.30","54.90","54.10","54.70","+","1.00","54.50","10","54.80","6","10.52",
"2358","廷鑫","123,861","83","1,881,247","15.15","15.45","15.10","15.20","+","0.10","15.10","11","15.20","5","49.03",
"2443","億麗","171,829","92","584,339","3.44","3.55","3.27","3.40","+","0.05","3.39","1","3.40","22","",
"2496","卓越","20,233","17","1,299,912","64.30","64.50","64.00","64.50","+","0.10","64.40","1","64.50","1","11.24",
"2514","龍邦","479,734","299","7,931,989","16.50","16.70","16.30","16.55","-","0.30","16.55","31","16.60","2","26.69",
"2904","匯僑","31,261","33","742,233","23.70","23.75","23.70","23.75"," ","0.00","23.70","9","23.75","13","12.50",
"3040","遠見","51,072","45","1,450,962","28.25","28.50","28.25","28.40","+","0.15","28.35","2","28.40","4","20.43",
"4536","拓凱","272,100","231","37,098,450","135.50","137.00","135.50","136.00","+","0.50","136.00","1","136.50","16","12.81",
"5284","jpp-KY","42,121","35","2,126,410","50.30","50.60","50.30","50.50","+","0.50","50.30","5","50.60","3","17.97",
"5871","中租-KY","5,624,681","2,830","783,800,840","139.00","140.00","138.50","140.00","+","2.00","139.50","7","140.00","204","12.56",
"6184","大豐電","84,649","66","3,401,991","40.20","40.35","40.10","40.10","-","0.10","40.10","3","40.15","2","12.30",
"6464","台數科","18,000","17","2,056,500","114.00","114.50","113.50","114.50","+","0.50","113.50","2","114.50","2","21.48",
"6504","南六","32,290","30","4,340,230","133.50","135.00","133.50","134.50","+","1.50","134.00","5","134.50","1","19.11",
"6581","鋼聯","27,000","25","2,298,300","85.00","85.30","85.00","85.20","+","0.20","85.20","2","85.30","3","14.95",
"6592","和潤企業","5,529,965","3,953","470,146,300","85.00","85.90","84.60","84.90","-","0.70","84.90","109","85.00","126","15.55",
"6625","必應","16,159","18","757,523","47.50","47.50","46.55","46.55","-","1.35","46.55","5","47.30","1","",
"6641","基士德-KY","17,075","17","1,176,190","68.20","69.20","68.20","68.70","+","0.50","68.60","3","68.90","1","10.84",
"6655","科定","23,000","17","927,150","40.30","40.45","40.00","40.45","+","0.15","40.05","1","40.45","2","18.47",
"6670","復盛應用","183,167","172","32,420,726","178.00","178.00","176.50","177.00","-","0.50","176.50","7","177.00","4","11.51",
"6671","三能-KY","67,000","40","2,505,000","37.30","37.55","37.30","37.40","+","0.15","37.30","13","37.45","3","14.11",
"8033","雷虎","131,468","81","1,339,150","10.20","10.25","10.15","10.20"," ","0.00","10.15","214","10.20","49","",
"8341","日友","368,475","485","87,085,050","239.00","239.00","235.00","236.00","-","2.00","235.50","7","236.00","9","26.43",
