"109年02月07日每日收盤行情(鋼鐵工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"2002","中鋼","7,882,927","3,049","183,554,161","23.30","23.35","23.20","23.30","-","0.05","23.25","350","23.30","23","23.30",
"2002A","中鋼特","20,000","16","1,100,900","55.10","55.10","55.00","55.10"," ","0.00","55.00","9","55.10","6","",
"2006","東和鋼鐵","1,125,591","349","25,597,146","22.90","22.90","22.60","22.80","-","0.10","22.75","17","22.80","32","19.16",
"2007","燁興","182,117","69","715,234","3.98","3.98","3.83","3.85","-","0.11","3.85","4","3.92","3","",
"2008","高興昌","7,300","6","90,125","12.35","12.35","12.35","12.35"," ","0.00","12.35","48","12.55","1","",
"2009","第一銅","462,125","154","4,044,643","8.70","8.90","8.63","8.86","+","0.13","8.85","1","8.86","1","",
"2010","春源","487,194","157","4,880,998","10.05","10.10","10.00","10.05"," ","0.00","10.00","253","10.05","85","38.65",
"2012","春雨","31,001","21","615,220","20.00","20.00","19.75","19.90","-","0.10","19.90","1","20.25","3","10.82",
"2013","中鋼構","154,857","111","3,650,587","23.70","23.70","23.45","23.60","-","0.20","23.55","9","23.60","1","42.91",
"2014","中鴻","2,466,726","875","23,044,416","9.55","9.55","9.30","9.33","-","0.19","9.33","5","9.34","15","13.52",
"2015","豐興","249,460","202","13,251,664","53.40","53.40","53.00","53.20","-","0.40","53.20","4","53.30","5","13.43",
"2017","官田鋼","168,770","87","1,048,983","6.20","6.24","6.16","6.23","+","0.01","6.23","18","6.24","16","",
"2020","美亞","427,763","91","6,632,025","15.50","15.55","15.45","15.55","-","0.05","15.45","23","15.55","9","9.78",
"2022","聚亨","213,610","94","1,055,902","4.96","4.99","4.91","4.96","-","0.02","4.96","1","4.97","2","",
"2023","燁輝","574,816","261","5,264,105","9.18","9.20","9.12","9.13","-","0.06","9.13","39","9.15","9","",
"2024","志聯","62,008","31","738,888","12.00","12.00","11.85","11.85","-","0.15","11.85","1","11.90","7","45.58",
"2025","千興","416,400","37","873,802","2.10","2.10","1.98","2.10"," ","0.00","2.03","5","2.10","3","",
"2027","大成鋼","1,790,198","968","52,423,505","29.55","29.55","29.10","29.25","-","0.30","29.25","9","29.30","8","10.64",
"2028","威致","56,600","29","520,609","9.20","9.20","9.19","9.20"," ","0.00","9.20","15","9.25","3","10.22",
"2029","盛餘","169,426","112","3,266,217","19.25","19.40","19.20","19.20","-","0.15","19.20","24","19.30","7","137.14",
"2030","彰源","248,443","131","2,851,447","11.55","11.60","11.40","11.45","-","0.10","11.40","2","11.45","15","11.34",
"2031","新光鋼","1,302,802","768","38,994,095","30.40","30.40","29.55","29.55","-","0.95","29.55","3","29.60","4","",
"2032","新鋼","25,000","17","222,960","8.97","8.97","8.88","8.88","-","0.04","8.87","1","8.88","1","27.75",
"2033","佳大","12,287","17","109,233","8.87","8.90","8.86","8.88","-","0.03","8.88","1","8.95","3","",
"2034","允強","447,682","265","11,428,224","25.80","25.80","25.40","25.45","-","0.35","25.45","9","25.50","19","13.91",
"2038","海光","113,000","47","779,550","6.99","6.99","6.87","6.98","-","0.01","6.87","4","6.98","4","",
"2069","運錩","283,630","125","4,748,526","17.25","17.25","16.65","16.65","-","0.60","16.65","7","16.80","3","",
"3004","豐達科","259,001","214","21,139,581","82.00","82.80","80.40","80.60","-","1.10","80.60","12","80.80","1","11.72",
"5007","三星","93,517","68","4,685,902","50.80","50.80","49.90","50.20","-","0.30","50.20","10","50.30","4","16.51",
"5538","東明-KY","3,000","3","98,650","33.45","33.45","32.60","32.60","-","1.00","32.30","1","32.60","1","14.68",
"9958","世紀鋼","1,589,250","958","108,003,099","68.40","68.50","67.40","67.40","-","1.50","67.40","71","67.50","5","23.32",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

