"108年08月12日每日收盤行情(鋼鐵工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"2002","中鋼","12,111,751","4,360","282,596,898","23.30","23.45","23.25","23.30","-","0.10","23.30","1,723","23.35","7","15.33",
"2002A","中鋼特","2,000","2","96,100","48.00","48.10","48.00","48.10","+","0.10","48.00","5","48.10","1","",
"2006","東和鋼鐵","1,233,155","387","26,657,492","21.70","21.75","21.50","21.70"," ","0.00","21.60","40","21.70","490","22.84",
"2007","燁興","116,322","61","504,182","4.39","4.39","4.31","4.32","-","0.10","4.32","1","4.34","1","",
"2008","高興昌","48,105","7","593,984","12.35","12.35","12.35","12.35","-","0.05","12.35","53","12.40","11","",
"2009","第一銅","214,817","423","2,122,856","9.98","10.00","9.80","9.80"," ","0.00","9.80","2","9.81","2","326.67",
"2010","春源","83,532","41","847,651","10.15","10.20","10.10","10.20","+","0.05","10.10","75","10.20","52","32.90",
"2012","春雨","49,251","41","1,034,840","21.15","21.15","20.95","21.00","-","0.25","21.00","30","21.10","10","12.21",
"2013","中鋼構","439,120","304","10,213,400","23.60","23.60","23.00","23.30","-","0.50","23.20","7","23.30","16","40.88",
"2014","中鴻","2,498,999","708","25,226,132","10.05","10.15","10.00","10.15","+","0.16","10.15","12","10.20","229","7.99",
"2015","豐興","118,515","99","6,705,455","56.40","56.90","56.30","56.50","-","0.40","56.50","19","56.60","3","12.20",
"2017","官田鋼","39,172","29","273,633","7.00","7.00","6.97","6.97","-","0.02","6.97","9","7.00","5","30.30",
"2020","美亞","180,560","80","2,764,089","15.35","15.35","15.25","15.25","-","0.10","15.25","52","15.30","10","7.86",
"2022","聚亨","233,399","73","1,545,131","6.63","6.64","6.61","6.63","-","0.01","6.63","4","6.64","51","",
"2023","燁輝","659,651","270","5,986,015","9.10","9.13","9.01","9.12","+","0.02","9.11","37","9.12","35","",
"2024","志聯","93,894","32","957,967","10.20","10.25","10.15","10.25"," ","0.00","10.20","3","10.25","9","22.78",
"2025","千興","293,010","35","476,565","1.63","1.63","1.59","1.59","+","0.04","1.59","7","1.60","8","",
"2027","大成鋼","4,886,489","1,509","223,946,834","45.95","46.00","45.70","45.70"," ","0.00","45.70","143","45.75","18","9.44",
"2028","威致","92,973","36","839,217","8.85","9.18","8.85","9.05","-","0.18","9.04","5","9.05","1","8.08",
"2029","盛餘","120,139","82","2,376,080","19.60","20.00","19.50","19.60","-","0.30","19.60","4","19.65","3","103.16",
"2030","彰源","594,653","214","7,698,107","13.20","13.20","12.85","12.85","-","0.35","12.85","142","12.90","10","10.71",
"2031","新光鋼","830,454","362","23,892,341","29.00","29.00","28.70","28.70","-","0.30","28.70","201","28.75","13","47.83",
"2032","新鋼","200,000","53","1,843,770","9.25","9.29","9.16","9.16","-","0.01","9.15","2","9.16","3","101.78",
"2033","佳大","132,000","62","1,187,960","9.14","9.14","8.90","9.10","+","0.03","8.99","2","9.10","1","113.75",
"2034","允強","570,788","236","15,109,488","26.65","26.65","26.25","26.45"," ","0.00","26.35","7","26.45","14","13.78",
"2038","海光","72,000","27","519,790","7.20","7.38","7.20","7.22","+","0.01","7.21","1","7.23","6","",
"2069","運錩","567,250","261","11,971,800","21.90","21.90","20.70","21.00","+","0.45","21.00","8","21.05","6","4.08",
"3004","豐達科","1,606,309","1,260","156,390,573","96.50","98.50","95.90","97.00","+","1.40","96.80","6","97.00","7","15.11",
"5007","三星","170,000","71","9,019,600","53.10","53.30","52.80","53.10","-","0.20","53.00","11","53.10","1","15.95",
"5538","東明-KY","14,000","3","461,500","32.50","33.00","32.50","33.00","+","0.05","33.00","7","33.05","1","11.74",
"9958","世紀鋼","1,654,448","1,073","123,467,173","74.90","75.40","73.60","74.30"," ","0.00","74.30","25","74.40","7","437.06",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

