"108年12月05日每日收盤行情(其他電子業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"2312","金寶","1,577,362","471","18,729,614","11.85","11.95","11.85","11.85"," ","0.00","11.85","36","11.90","117","21.55",
"2317","鴻海","19,851,813","9,419","1,788,613,637","90.00","90.70","89.60","89.90","+","0.40","89.80","128","89.90","23","9.57",
"2354","鴻準","3,532,155","1,877","238,496,528","67.20","67.80","67.20","67.50","+","0.40","67.50","25","67.60","29","10.53",
"2359","所羅門","197,313","127","4,144,023","20.85","21.10","20.85","21.10","+","0.20","21.05","10","21.10","19","9.25",
"2360","致茂","1,629,485","967","226,780,552","138.00","140.00","137.50","140.00","+","3.00","139.50","4","140.00","1","33.82",
"2373","震旦行","34,860","37","3,185,501","91.10","91.70","91.10","91.40","-","0.40","91.30","2","91.50","1","14.48",
"2390","云辰","405,566","244","4,507,376","11.20","11.20","11.05","11.10"," ","0.00","11.10","19","11.15","8","",
"2404","漢唐","658,739","573","113,636,347","171.50","173.50","171.50","173.00","+","2.00","172.50","35","173.00","1","11.90",
"2423","固緯","211,000","122","5,663,800","26.80","27.00","26.75","26.80","+","0.05","26.80","6","26.85","4","11.81",
"2433","互盛電","34,000","27","1,801,600","52.70","53.50","52.70","52.90","+","0.20","52.90","4","53.00","2","12.54",
"2461","光群雷","568,002","292","11,468,290","20.20","20.30","20.10","20.15","+","0.10","20.15","4","20.20","5","53.03",
"2464","盟立","342,367","254","13,382,763","39.00","39.30","38.95","39.15","+","0.20","39.15","9","39.20","15","8.96",
"2474","可成","4,083,100","2,725","1,026,835,700","251.50","253.00","250.00","251.50","+","2.00","251.50","169","252.00","29","13.14",
"2477","美隆電","217,100","138","5,876,070","27.20","27.25","26.90","27.20","+","0.20","27.10","9","27.20","6","16.89",
"2482","連宇","120,000","54","1,484,550","12.40","12.45","12.30","12.35","+","0.05","12.35","8","12.40","26","21.67",
"2488","漢平","126,704","92","4,344,071","34.25","34.40","34.20","34.25"," ","0.00","34.25","4","34.30","2","9.31",
"2495","普安","138,435","87","1,931,046","13.95","14.00","13.90","13.95","+","0.05","13.95","2","14.00","15","12.80",
"3018","同開","177,798","131","4,062,704","22.45","23.10","22.45","22.95","+","0.50","22.80","2","22.95","4","",
"3030","德律","228,100","146","11,706,130","51.40","51.40","51.20","51.30"," ","0.00","51.30","9","51.40","2","12.89",
"3043","科風","518,681","129","1,033,135","1.94","2.15","1.94","2.02","-","0.13","2.02","16","2.08","3","4.21",
"3305","昇貿","60,219","41","1,470,904","24.60","24.60","24.35","24.50","+","0.15","24.45","1","24.50","8","15.91",
"3450","聯鈞","489,967","376","25,800,557","52.40","52.80","52.30","52.60","+","0.60","52.60","6","52.80","5","26.30",
"3518","柏騰","290,051","202","8,183,467","28.35","28.55","28.00","28.00"," ","0.00","28.00","42","28.25","2","",
"3617","碩天","80,200","76","9,019,199","112.00","113.00","111.50","112.50","+","0.50","112.00","60","113.00","16","13.85",
"3665","貿聯-KY","1,308,586","744","291,686,382","223.00","224.00","222.00","222.50","+","1.00","222.00","57","222.50","41","14.63",
"5225","東科-KY","412,110","311","23,253,815","56.40","57.40","56.00","56.10","-","0.50","56.10","4","56.20","2","7.53",
"6139","亞翔","508,010","293","13,062,807","25.60","26.10","25.55","25.80","+","0.20","25.80","17","25.85","5","9.74",
"6192","巨路","65,100","61","4,703,320","72.00","72.60","72.00","72.00","-","0.20","72.00","9","72.40","11","9.24",
"6196","帆宣","2,188,372","1,590","159,634,542","72.70","73.70","72.30","72.70","+","0.60","72.60","28","72.70","3","22.30",
"6201","亞弘電","106,005","36","3,742,877","35.50","35.50","35.20","35.45","-","0.05","35.40","5","35.50","4","9.50",
"6215","和椿","126,000","60","1,881,050","15.00","15.00","14.85","14.95","+","0.05","14.90","2","14.95","2","24.92",
"6283","淳安","282,213","188","8,330,483","29.90","29.90","29.20","29.50","+","0.05","29.40","11","29.50","1","134.09",
"6409","旭隼","15,325","23","10,958,075","711.00","718.00","711.00","715.00","-","1.00","714.00","3","716.00","2","28.71",
"6558","興能高","1,068,050","791","75,698,174","69.70","71.40","69.70","71.40","+","2.00","71.30","1,129","71.40","52","31.18",
"6698","旭暉應材","2,430,360","1,587","197,410,280","79.00","83.50","78.80","82.50","+","1.60","82.40","1","82.50","5","27.23",
"8021","尖點","9,614,200","4,341","230,816,329","23.90","24.45","23.50","23.50","+","0.20","23.50","25","23.55","2","14.69",
"8201","無敵","49,229","24","554,114","11.35","11.35","11.25","11.30","-","0.05","11.25","2","11.30","2","",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

